Log: /scratch2/09796/shuyuanfan4814/carbon/out/frontera-scaling.7953063.20260924T082552Z.vBdJPu
Slurm job: 7953063
Host: c209-003.frontera.tacc.utexas.edu
ASSUMED scaling profile: medium/e050; efficiency32/4=50%; T16=22.6h; seed=11; rho=1.0
Fixed source: /scratch2/09796/shuyuanfan4814/carbon/results/scaling-v2-medium-e050-frontera-c84-fixed-max48
PPO output: /scratch2/09796/shuyuanfan4814/carbon/results/scaling-v2-medium-e050-frontera-c84-max48-weighted-seed11
Fixed requests 48h; dynamic requests rounded planned duration. All returned curves must disclose both rules.
frontera-train-0071 Fixed-32: completed, chunks=1
frontera-train-0072 Fixed-4: completed, chunks=2
frontera-train-0072 Fixed-8: completed, chunks=1
frontera-train-0072 Fixed-16: completed, chunks=1
frontera-train-0072 Fixed-32: completed, chunks=1
Fixed train: 73 arrivals, 292 outcomes, 81.7s
frontera-validation-0000 Fixed-4: completed, chunks=2
frontera-validation-0000 Fixed-8: completed, chunks=1
frontera-validation-0000 Fixed-16: completed, chunks=1
frontera-validation-0000 Fixed-32: completed, chunks=1
frontera-validation-0001 Fixed-4: completed, chunks=2
frontera-validation-0001 Fixed-8: completed, chunks=1
frontera-validation-0001 Fixed-16: completed, chunks=1
frontera-validation-0001 Fixed-32: completed, chunks=1
frontera-validation-0002 Fixed-4: completed, chunks=2
frontera-validation-0002 Fixed-8: completed, chunks=1
frontera-validation-0002 Fixed-16: completed, chunks=1
frontera-validation-0002 Fixed-32: completed, chunks=1
frontera-validation-0003 Fixed-4: completed, chunks=2
frontera-validation-0003 Fixed-8: completed, chunks=1
frontera-validation-0003 Fixed-16: completed, chunks=1
frontera-validation-0003 Fixed-32: completed, chunks=1
frontera-validation-0004 Fixed-4: completed, chunks=2
frontera-validation-0004 Fixed-8: completed, chunks=1
frontera-validation-0004 Fixed-16: completed, chunks=1
frontera-validation-0004 Fixed-32: completed, chunks=1
frontera-validation-0005 Fixed-4: completed, chunks=2
frontera-validation-0005 Fixed-8: completed, chunks=1
frontera-validation-0005 Fixed-16: completed, chunks=1
frontera-validation-0005 Fixed-32: completed, chunks=1
frontera-validation-0006 Fixed-4: completed, chunks=2
frontera-validation-0006 Fixed-8: completed, chunks=1
frontera-validation-0006 Fixed-16: completed, chunks=1
frontera-validation-0006 Fixed-32: completed, chunks=1
frontera-validation-0007 Fixed-4: completed, chunks=2
frontera-validation-0007 Fixed-8: completed, chunks=1
frontera-validation-0007 Fixed-16: completed, chunks=1
frontera-validation-0007 Fixed-32: completed, chunks=1
frontera-validation-0008 Fixed-4: completed, chunks=2
frontera-validation-0008 Fixed-8: completed, chunks=1
frontera-validation-0008 Fixed-16: completed, chunks=1
frontera-validation-0008 Fixed-32: completed, chunks=1
frontera-validation-0009 Fixed-4: completed, chunks=2
frontera-validation-0009 Fixed-8: completed, chunks=1
frontera-validation-0009 Fixed-16: completed, chunks=1
frontera-validation-0009 Fixed-32: completed, chunks=1
frontera-validation-0010 Fixed-4: completed, chunks=2
frontera-validation-0010 Fixed-8: completed, chunks=1
frontera-validation-0010 Fixed-16: completed, chunks=1
frontera-validation-0010 Fixed-32: completed, chunks=1
frontera-validation-0011 Fixed-4: completed, chunks=2
frontera-validation-0011 Fixed-8: completed, chunks=1
frontera-validation-0011 Fixed-16: completed, chunks=1
frontera-validation-0011 Fixed-32: completed, chunks=1
frontera-validation-0012 Fixed-4: completed, chunks=2
frontera-validation-0012 Fixed-8: completed, chunks=1
frontera-validation-0012 Fixed-16: completed, chunks=1
frontera-validation-0012 Fixed-32: completed, chunks=1
frontera-validation-0013 Fixed-4: completed, chunks=2
frontera-validation-0013 Fixed-8: completed, chunks=1
frontera-validation-0013 Fixed-16: completed, chunks=1
frontera-validation-0013 Fixed-32: completed, chunks=1
frontera-validation-0014 Fixed-4: completed, chunks=2
frontera-validation-0014 Fixed-8: completed, chunks=1
frontera-validation-0014 Fixed-16: completed, chunks=1
frontera-validation-0014 Fixed-32: completed, chunks=1
frontera-validation-0015 Fixed-4: completed, chunks=2
frontera-validation-0015 Fixed-8: completed, chunks=1
frontera-validation-0015 Fixed-16: completed, chunks=1
frontera-validation-0015 Fixed-32: completed, chunks=1
frontera-validation-0016 Fixed-4: completed, chunks=2
frontera-validation-0016 Fixed-8: completed, chunks=1
frontera-validation-0016 Fixed-16: completed, chunks=1
frontera-validation-0016 Fixed-32: completed, chunks=1
frontera-validation-0017 Fixed-4: completed, chunks=2
frontera-validation-0017 Fixed-8: completed, chunks=1
frontera-validation-0017 Fixed-16: completed, chunks=1
frontera-validation-0017 Fixed-32: completed, chunks=1
frontera-validation-0018 Fixed-4: completed, chunks=2
frontera-validation-0018 Fixed-8: completed, chunks=1
frontera-validation-0018 Fixed-16: completed, chunks=1
frontera-validation-0018 Fixed-32: completed, chunks=1
frontera-validation-0019 Fixed-4: completed, chunks=2
frontera-validation-0019 Fixed-8: completed, chunks=1
frontera-validation-0019 Fixed-16: completed, chunks=1
frontera-validation-0019 Fixed-32: completed, chunks=1
frontera-validation-0020 Fixed-4: completed, chunks=2
frontera-validation-0020 Fixed-8: completed, chunks=1
frontera-validation-0020 Fixed-16: completed, chunks=1
frontera-validation-0020 Fixed-32: completed, chunks=1
frontera-validation-0021 Fixed-4: completed, chunks=2
frontera-validation-0021 Fixed-8: completed, chunks=1
frontera-validation-0021 Fixed-16: completed, chunks=1
frontera-validation-0021 Fixed-32: completed, chunks=1
frontera-validation-0022 Fixed-4: completed, chunks=2
frontera-validation-0022 Fixed-8: completed, chunks=1
frontera-validation-0022 Fixed-16: completed, chunks=1
frontera-validation-0022 Fixed-32: completed, chunks=1
frontera-validation-0023 Fixed-4: completed, chunks=2
frontera-validation-0023 Fixed-8: completed, chunks=1
frontera-validation-0023 Fixed-16: completed, chunks=1
frontera-validation-0023 Fixed-32: completed, chunks=1
Fixed validation: 24 arrivals, 96 outcomes, 141.9s
Old-GPT fixed preparation complete. No wait probes or planner fitting.
weighted observe 1/64: episodes=80, chunks=99, optimizer_steps=0
weighted observe 2/64: episodes=160, chunks=197, optimizer_steps=0
weighted observe 3/64: episodes=240, chunks=307, optimizer_steps=0
weighted observe 4/64: episodes=320, chunks=406, optimizer_steps=0
weighted observe 5/64: episodes=400, chunks=500, optimizer_steps=0
Frozen reward means: TAT=36.554360h, carbon=123395.502123, n=400
weighted train 6/64: episodes=480, chunks=602, optimizer_steps=20
weighted train 7/64: episodes=560, chunks=698, optimizer_steps=20
weighted train 8/64: episodes=640, chunks=796, optimizer_steps=20
weighted train 9/64: episodes=720, chunks=894, optimizer_steps=20
weighted train 10/64: episodes=800, chunks=1002, optimizer_steps=20
weighted train 11/64: episodes=880, chunks=1109, optimizer_steps=20
weighted train 12/64: episodes=960, chunks=1220, optimizer_steps=20
weighted train 13/64: episodes=1040, chunks=1326, optimizer_steps=20
weighted train 14/64: episodes=1120, chunks=1436, optimizer_steps=20
weighted train 15/64: episodes=1200, chunks=1545, optimizer_steps=20
weighted train 16/64: episodes=1280, chunks=1652, optimizer_steps=20
weighted train 17/64: episodes=1360, chunks=1762, optimizer_steps=20
weighted train 18/64: episodes=1440, chunks=1872, optimizer_steps=20
weighted train 19/64: episodes=1520, chunks=1982, optimizer_steps=20
weighted train 20/64: episodes=1600, chunks=2091, optimizer_steps=20
weighted train 21/64: episodes=1680, chunks=2201, optimizer_steps=20
weighted train 22/64: episodes=1760, chunks=2310, optimizer_steps=20
weighted train 23/64: episodes=1840, chunks=2421, optimizer_steps=20
weighted train 24/64: episodes=1920, chunks=2533, optimizer_steps=20
weighted train 25/64: episodes=2000, chunks=2645, optimizer_steps=20
weighted train 26/64: episodes=2080, chunks=2756, optimizer_steps=20
weighted train 27/64: episodes=2160, chunks=2866, optimizer_steps=20
weighted train 28/64: episodes=2240, chunks=2978, optimizer_steps=20
weighted train 29/64: episodes=2320, chunks=3089, optimizer_steps=20
weighted train 30/64: episodes=2400, chunks=3199, optimizer_steps=20
weighted train 31/64: episodes=2480, chunks=3310, optimizer_steps=20
weighted train 32/64: episodes=2560, chunks=3419, optimizer_steps=20
weighted train 33/64: episodes=2640, chunks=3531, optimizer_steps=20
weighted train 34/64: episodes=2720, chunks=3641, optimizer_steps=20
weighted train 35/64: episodes=2800, chunks=3750, optimizer_steps=20
weighted train 36/64: episodes=2880, chunks=3862, optimizer_steps=20
